不一定	不一定	bù yī dìng	ㄅㄨˋ ㄧ ㄉㄧㄥˋ		不一定bù yī dìngㄅㄨˋ ㄧ ㄉㄧㄥˋnot necessarily maybe
鱼	魚	Yú, yú	ㄩˊ		鱼〔魚〕Yúㄩˊsurname Yu鱼〔魚〕yúㄩˊfish CL:條|条[tiao2],尾[wei3]
出发	出發	chū fā	ㄔㄨ ㄈㄚ		出发〔出發〕chū fāㄔㄨ ㄈㄚto set off to start (on a journey)
疼	疼	téng	ㄊㄥˊ		疼téngㄊㄥˊ(it) hurts sore to love dearly
一生	一生	yī shēng	ㄧ ㄕㄥ		"一生yī shēngㄧ ㄕㄥall one's life throughout one's life"
明星	明星	míng xīng	ㄇㄧㄥˊ ㄒㄧㄥ		明星míng xīngㄇㄧㄥˊ ㄒㄧㄥstar celebrity
晚餐	晚餐	wǎn cān	ㄨㄢˇ ㄘㄢ		晚餐wǎn cānㄨㄢˇ ㄘㄢevening meal dinner CL:份[fen4],頓|顿[dun4],次[ci4]
服务	服務	fú wù	ㄈㄨˊ ㄨˋ		服务〔服務〕fú wùㄈㄨˊ ㄨˋto serve service CL:項|项[xiang4]
合适	合適	hé shì	ㄏㄜˊ ㄕˋ		合适〔合適〕hé shìㄏㄜˊ ㄕˋsuitable fitting appropriate
广告	廣告	guǎng gào	ㄍㄨㄤˇ ㄍㄠˋ		广告〔廣告〕guǎng gàoㄍㄨㄤˇ ㄍㄠˋto advertise a commercial advertisement CL:項|项[xiang4]
闻	聞	Wén, wén	ㄨㄣˊ		闻〔聞〕Wénㄨㄣˊsurname Wen闻〔聞〕wénㄨㄣˊto hear news well-known famous reputation fame to smell to sniff at
公平	公平	gōng píng	ㄍㄨㄥ ㄆㄧㄥˊ		公平gōng píngㄍㄨㄥ ㄆㄧㄥˊfair impartial
鞋	鞵	xié	ㄒㄧㄝˊ		鞋〔鞵〕xiéㄒㄧㄝˊshoe CL:雙|双[shuang1],隻|只[zhi1] variant of 鞋[xie2]
取	取	qǔ	ㄑㄩˇ		取qǔㄑㄩˇto take to get to choose to fetch
短	短	duǎn	ㄉㄨㄢˇ		短duǎnㄉㄨㄢˇshort brief to lack weak point fault
地球	地球	dì qiú	ㄉㄧˋ ㄑㄧㄡˊ		地球dì qiúㄉㄧˋ ㄑㄧㄡˊthe earth CL:個|个[ge4]
经过	經過	jīng guò	ㄐㄧㄥ ㄍㄨㄛˋ		经过〔經過〕jīng guòㄐㄧㄥ ㄍㄨㄛˋto pass to go through process course CL:個|个[ge4]
信号	信號	xìn hào	ㄒㄧㄣˋ ㄏㄠˋ		信号〔信號〕xìn hàoㄒㄧㄣˋ ㄏㄠˋsignal
周末	週末	zhōu mò	ㄓㄡ ㄇㄛˋ		周末〔週末〕zhōu mòㄓㄡ ㄇㄛˋweekend
推	推	tuī	ㄊㄨㄟ		推tuīㄊㄨㄟto push to cut to refuse to reject to decline to shirk (responsibility) to put off to delay to push forward to nominate to elect massage
习惯	習慣	xí guàn	ㄒㄧˊ ㄍㄨㄢˋ		习惯〔習慣〕xí guànㄒㄧˊ ㄍㄨㄢˋhabit custom usual practice to be used to CL:個|个[ge4]
越来越	越來越	yuè lái yuè	ㄩㄝˋ ㄌㄞˊ ㄩㄝˋ		越来越〔越來越〕yuè lái yuèㄩㄝˋ ㄌㄞˊ ㄩㄝˋmore and more
名单	名單	míng dān	ㄇㄧㄥˊ ㄉㄢ		名单〔名單〕míng dānㄇㄧㄥˊ ㄉㄢlist (of names)
公园	公園	gōng yuán	ㄍㄨㄥ ㄩㄢˊ		公园〔公園〕gōng yuánㄍㄨㄥ ㄩㄢˊpark (for public recreation) CL:個|个[ge4],座[zuo4]
鸟	鳥	diǎo, niǎo	ㄉㄧㄠˇ, ㄋㄧㄠˇ		鸟〔鳥〕diǎoㄉㄧㄠˇvariant of 屌[diao3] penis鸟〔鳥〕niǎoㄋㄧㄠˇbird CL:隻|只[zhi1],群[qun2] (dialect) to pay attention to (intensifier) damned goddam
健康	健康	jiàn kāng	ㄐㄧㄢˋ ㄎㄤ		健康jiàn kāngㄐㄧㄢˋ ㄎㄤhealth healthy
不够	不夠	bù gòu	ㄅㄨˋ ㄍㄡˋ		不够〔不夠〕bù gòuㄅㄨˋ ㄍㄡˋnot enough insufficient inadequate
方向	方向	fāng xiàng	ㄈㄤ ㄒㄧㄤˋ		方向fāng xiàngㄈㄤ ㄒㄧㄤˋdirection orientation path to follow CL:個|个[ge4]
接着	接著	jiē zhe	ㄐㄧㄝ ㄓㄜ˙		"接着〔接著〕jiē zheㄐㄧㄝ ㄓㄜ˙to catch and hold on to continue to go on to do sth to follow to carry on then after that subsequently to proceed to ensue in turn in one's turn"
高中	高中	gāo zhōng, gāo zhòng	ㄍㄠ ㄓㄨㄥ, ㄍㄠ ㄓㄨㄥˋ		高中gāo zhōngㄍㄠ ㄓㄨㄥsenior high school abbr. for 高級中學|高级中学[gao1 ji2 zhong1 xue2]高中gāo zhòngㄍㄠ ㄓㄨㄥˋto pass brilliantly (used in congratulatory fashion)
正好	正好	zhèng hǎo	ㄓㄥˋ ㄏㄠˇ		正好zhèng hǎoㄓㄥˋ ㄏㄠˇjust (in time) just right just enough to happen to to chance to by chance it just so happens that
旅行	旅行	lǚ xíng	ㄌㄩˇ ㄒㄧㄥˊ		旅行lǚ xíngㄌㄩˇ ㄒㄧㄥˊto travel journey trip CL:趟[tang4],次[ci4],個|个[ge4]
酒店	酒店	jiǔ diàn	ㄐㄧㄡˇ ㄉㄧㄢˋ		酒店jiǔ diànㄐㄧㄡˇ ㄉㄧㄢˋwine shop pub (public house) hotel restaurant
随时	隨時	suí shí	ㄙㄨㄟˊ ㄕˊ		随时〔隨時〕suí shíㄙㄨㄟˊ ㄕˊat any time at all times at the right time
度	度	dù, duó	ㄉㄨˋ, ㄉㄨㄛˊ		度dùㄉㄨˋto pass to spend (time) measure limit extent degree of intensity degree (angles, temperature etc) kilowatt-hour classifier for events and occurrences度duóㄉㄨㄛˊto estimate Taiwan pr. [duo4]
背	背	bēi, bèi	ㄅㄟ, ㄅㄟˋ		"背bēiㄅㄟvariant of 背[bei1] to be burdened to carry on the back or shoulder背bèiㄅㄟˋthe back of a body or object to turn one's back to hide something from to learn by heart to recite from memory unlucky (slang) hard of hearing"
节	節	jiē, jié	ㄐㄧㄝ, ㄐㄧㄝˊ		节〔節〕jiēㄐㄧㄝsee 節骨眼|节骨眼[jie1 gu5 yan3]节〔節〕jiéㄐㄧㄝˊfestival holiday node joint section segment part to economize to save to abridge moral integrity classifier for segments, e.g. lessons, train wagons, biblical verses CL:個|个[ge4]
排	排	pái	ㄆㄞˊ		排páiㄆㄞˊa row a line to set in order to arrange to line up to eliminate to drain to push open platoon raft classifier for lines, rows etc
许多	許多	xǔ duō	ㄒㄩˇ ㄉㄨㄛ		许多〔許多〕xǔ duōㄒㄩˇ ㄉㄨㄛmany a lot of much
瓶	缾	píng	ㄆㄧㄥˊ		瓶〔缾〕píngㄆㄧㄥˊbottle vase pitcher CL:個|个[ge4] classifier for wine and liquids variant of 瓶[ping2]
顺利	順利	shùn lì	ㄕㄨㄣˋ ㄌㄧˋ		顺利〔順利〕shùn lìㄕㄨㄣˋ ㄌㄧˋsmoothly without a hitch
改	改	gǎi	ㄍㄞˇ		改gǎiㄍㄞˇto change to alter to transform to correct
不少	不少	bù shǎo	ㄅㄨˋ ㄕㄠˇ		不少bù shǎoㄅㄨˋ ㄕㄠˇmany a lot not few
好事	好事	hǎo shì, hào shì	ㄏㄠˇ ㄕˋ, ㄏㄠˋ ㄕˋ		"好事hǎo shìㄏㄠˇ ㄕˋgood action, deed, thing or work (also sarcastic, 'a fine thing indeed') charity happy occasion Daoist or Buddhist ceremony for the souls of the dead好事hào shìㄏㄠˋ ㄕˋto be meddlesome"
客人	客人	kè rén	ㄎㄜˋ ㄖㄣˊ		客人kè rénㄎㄜˋ ㄖㄣˊvisitor guest customer client CL:位[wei4]
运动	運動	yùn dòng	ㄩㄣˋ ㄉㄨㄥˋ		运动〔運動〕yùn dòngㄩㄣˋ ㄉㄨㄥˋto move to exercise sports exercise motion movement campaign CL:場|场[chang3]
爬	爬	pá	ㄆㄚˊ		爬páㄆㄚˊto crawl to climb to get up or sit up
爱情	愛情	ài qíng	ㄞˋ ㄑㄧㄥˊ		爱情〔愛情〕ài qíngㄞˋ ㄑㄧㄥˊromance love (romantic) CL:個|个[ge4],份[fen4]
十分	十分	shí fēn	ㄕˊ ㄈㄣ		十分shí fēnㄕˊ ㄈㄣvery completely utterly extremely absolutely hundred percent to divide into ten equal parts
超过	超過	chāo guò	ㄔㄠ ㄍㄨㄛˋ		超过〔超過〕chāo guòㄔㄠ ㄍㄨㄛˋto surpass to exceed to outstrip
想起	想起	xiǎng qǐ	ㄒㄧㄤˇ ㄑㄧˇ		想起xiǎng qǐㄒㄧㄤˇ ㄑㄧˇto recall to think of to call to mind
吹	吹	chuī	ㄔㄨㄟ		吹chuīㄔㄨㄟto blow to play a wind instrument to blast to puff to boast to brag to end in failure to fall through
目的	目的	mù dì	ㄇㄨˋ ㄉㄧˋ		目的mù dìㄇㄨˋ ㄉㄧˋpurpose aim goal target objective CL:個|个[ge4]
急	急	jí	ㄐㄧˊ		急jíㄐㄧˊurgent pressing rapid hurried worried to make (sb) anxious
低	低	dī	ㄉㄧ		"低dīㄉㄧlow beneath to lower (one's head) to let droop to hang down to incline"
故意	故意	gù yì	ㄍㄨˋ ㄧˋ		故意gù yìㄍㄨˋ ㄧˋdeliberately on purpose
心里	心裡	xīn li	ㄒㄧㄣ ㄌㄧ˙		心里〔心裡〕xīn liㄒㄧㄣ ㄌㄧ˙chest heart mind
好人	好人	hǎorén	ㄏㄠˇ ㄖㄣˊ		好人hǎorénㄏㄠˇ ㄖㄣˊa healthy person, good person, goodman, sb. who tries to get along with everyone, bawcock, good, agreeable individual, good egg, a person who tries to get along with everyone (oft
长大	長大	zhǎng dà	ㄓㄤˇ ㄉㄚˋ		长大〔長大〕zhǎng dàㄓㄤˇ ㄉㄚˋto grow up
交给	交給	jiāo gěi	ㄐㄧㄠ ㄍㄟˇ		交给〔交給〕jiāo gěiㄐㄧㄠ ㄍㄟˇto give to deliver to hand over
好处	好處	hǎo chu	ㄏㄠˇ ㄔㄨ˙		好处〔好處〕hǎo chuㄏㄠˇ ㄔㄨ˙benefit advantage gain profit also pr. [hao3 chu4] CL:個|个[ge4]
海	海	Hǎi, hǎi	ㄏㄞˇ		海Hǎiㄏㄞˇsurname Hai海hǎiㄏㄞˇocean sea CL:個|个[ge4],片[pian4] great number of people or things (dialect) numerous
普通	普通	pǔ tōng	ㄆㄨˇ ㄊㄨㄥ		普通pǔ tōngㄆㄨˇ ㄊㄨㄥcommon ordinary general average
表示	表示	biǎo shì	ㄅㄧㄠˇ ㄕˋ		表示biǎo shìㄅㄧㄠˇ ㄕˋto express to show to say to state to indicate to mean
出生	出生	chū shēng	ㄔㄨ ㄕㄥ		出生chū shēngㄔㄨ ㄕㄥto be born
经理	經理	jīng lǐ	ㄐㄧㄥ ㄌㄧˇ		经理〔經理〕jīng lǐㄐㄧㄥ ㄌㄧˇmanager director CL:個|个[ge4],位[wei4],名[ming2]
作用	作用	zuò yòng	ㄗㄨㄛˋ ㄩㄥˋ		作用zuò yòngㄗㄨㄛˋ ㄩㄥˋto act on to affect action function activity impact result effect purpose intent to play a role corresponds to English -ity, -ism, -ization CL:個|个[ge4]
举	舉	jǔ	ㄐㄩˇ		举〔舉〕jǔㄐㄩˇvariant of 舉|举[ju3] to lift to hold up to cite to enumerate to act to raise to choose to elect act move deed
队长	隊長	duì zhǎng	ㄉㄨㄟˋ ㄓㄤˇ		队长〔隊長〕duì zhǎngㄉㄨㄟˋ ㄓㄤˇcaptain team leader CL:個|个[ge4]
层	層	céng	ㄘㄥˊ		层〔層〕céngㄘㄥˊlayer stratum laminated floor (of a building) storey classifier for layers repeated sheaf (math.)
报纸	報紙	bào zhǐ	ㄅㄠˋ ㄓˇ		报纸〔報紙〕bào zhǐㄅㄠˋ ㄓˇnewspaper newsprint CL:份[fen4],期[qi1],張|张[zhang1]
颜色	顏色	yán sè	ㄧㄢˊ ㄙㄜˋ		颜色〔顏色〕yán sèㄧㄢˊ ㄙㄜˋcolor countenance appearance facial expression pigment dyestuff
墙	牆	qiáng	ㄑㄧㄤˊ		墙〔牆〕qiángㄑㄧㄤˊvariant of 牆|墙[qiang2], wall wall CL:面[mian4],堵[du3]
流	流	liú	ㄌㄧㄡˊ		流liúㄌㄧㄡˊto flow to disseminate to circulate or spread to move or drift to degenerate to banish or send into exile stream of water or sth resembling one class, rate or grade
请求	請求	qǐng qiú	ㄑㄧㄥˇ ㄑㄧㄡˊ		请求〔請求〕qǐng qiúㄑㄧㄥˇ ㄑㄧㄡˊto request to ask request CL:個|个[ge4]
小组	小組	xiǎo zǔ	ㄒㄧㄠˇ ㄗㄨˇ		小组〔小組〕xiǎo zǔㄒㄧㄠˇ ㄗㄨˇgroup
灯	燈	dēng	ㄉㄥ		灯〔燈〕dēngㄉㄥlamp light lantern CL:盞|盏[zhan3]
练习	練習	liàn xí	ㄌㄧㄢˋ ㄒㄧˊ		练习〔練習〕liàn xíㄌㄧㄢˋ ㄒㄧˊto practice exercise drill practice CL:個|个[ge4]
蓝	藍	Lán, lán	ㄌㄢˊ		蓝〔藍〕Lánㄌㄢˊsurname Lan蓝〔藍〕lánㄌㄢˊblue indigo plant
心情	心情	xīn qíng	ㄒㄧㄣ ㄑㄧㄥˊ		心情xīn qíngㄒㄧㄣ ㄑㄧㄥˊmood frame of mind CL:個|个[ge4]
难过	難過	nán guò	ㄋㄢˊ ㄍㄨㄛˋ		难过〔難過〕nán guòㄋㄢˊ ㄍㄨㄛˋto feel sad to feel unwell (of life) to be difficult
停车	停車	tíng chē	ㄊㄧㄥˊ ㄔㄜ		"停车〔停車〕tíng chēㄊㄧㄥˊ ㄔㄜto pull up (stop one's vehicle) to park (of a machine) to stop working to stall"
条件	條件	tiáo jiàn	ㄊㄧㄠˊ ㄐㄧㄢˋ		条件〔條件〕tiáo jiànㄊㄧㄠˊ ㄐㄧㄢˋcondition circumstances term factor requirement prerequisite qualification CL:個|个[ge4]
接到	接到	jiē dào	ㄐㄧㄝ ㄉㄠˋ		接到jiē dàoㄐㄧㄝ ㄉㄠˋto receive (letter etc)
上周	上周	shàng zhōu	ㄕㄤˋ ㄓㄡ		上周shàng zhōuㄕㄤˋ ㄓㄡlast week
司机	司機	sī jī	ㄙ ㄐㄧ		司机〔司機〕sī jīㄙ ㄐㄧchauffeur driver CL:個|个[ge4]
千	韆	qiān	ㄑㄧㄢ		千〔韆〕qiānㄑㄧㄢthousand a swing
碰到	碰到	pèng dào	ㄆㄥˋ ㄉㄠˋ		碰到pèng dàoㄆㄥˋ ㄉㄠˋto come across to run into to meet to hit
出租车	出租車	chū zū chē	ㄔㄨ ㄗㄨ ㄔㄜ		出租车〔出租車〕chū zū chēㄔㄨ ㄗㄨ ㄔㄜtaxi (Taiwan) rental car
主人	主人	zhǔ rén	ㄓㄨˇ ㄖㄣˊ		主人zhǔ rénㄓㄨˇ ㄖㄣˊmaster host owner CL:個|个[ge4]
表	錶	biǎo	ㄅㄧㄠˇ		"表〔錶〕biǎoㄅㄧㄠˇexterior surface family relationship via females to show (one's opinion) a model a table (listing information) a form a meter (measuring sth) wrist or pocket watch"
红色	紅色	hóng sè	ㄏㄨㄥˊ ㄙㄜˋ		红色〔紅色〕hóng sèㄏㄨㄥˊ ㄙㄜˋred (color) revolutionary
油	油	yóu	ㄧㄡˊ		油yóuㄧㄡˊoil fat grease petroleum to apply tung oil, paint or varnish oily greasy glib cunning
干杯	乾杯	gān bēi	ㄍㄢ ㄅㄟ		"干杯〔乾杯〕gān bēiㄍㄢ ㄅㄟto drink a toast Cheers! (proposing a toast) Here's to you! Bottoms up! lit. dry cup"
看法	看法	kàn fǎ	ㄎㄢˋ ㄈㄚˇ		看法kàn fǎㄎㄢˋ ㄈㄚˇway of looking at a thing view opinion CL:個|个[ge4]
脏	髒	zàng, zāng	ㄗㄤˋ, ㄗㄤ		脏〔髒〕zàngㄗㄤˋviscera (anatomy) organ脏〔髒〕zāngㄗㄤdirty filthy
走开	走開	zǒu kāi	ㄗㄡˇ ㄎㄞ		走开〔走開〕zǒu kāiㄗㄡˇ ㄎㄞto leave to walk away to beat it to move aside
满意	滿意	mǎn yì	ㄇㄢˇ ㄧˋ		"满意〔滿意〕mǎn yìㄇㄢˇ ㄧˋsatisfied pleased to one's satisfaction"
大多数	大多數	dà duō shù	ㄉㄚˋ ㄉㄨㄛ ㄕㄨˋ		大多数〔大多數〕dà duō shùㄉㄚˋ ㄉㄨㄛ ㄕㄨˋ(great) majority
数字	數字	shù zì	ㄕㄨˋ ㄗˋ		数字〔數字〕shù zìㄕㄨˋ ㄗˋnumeral digit number figure amount digital (electronics etc) CL:個|个[ge4]
纸	紙	zhǐ	ㄓˇ		纸〔紙〕zhǐㄓˇvariant of 紙|纸[zhi3] paper CL:張|张[zhang1],沓[da2] classifier for documents, letter etc
称	稱	chèn, chēng, chèng	ㄔㄣˋ, ㄔㄥ, ㄔㄥˋ		称〔稱〕chènㄔㄣˋto fit balanced suitable称〔稱〕chēngㄔㄥto weigh to state to name name appellation to praise称〔稱〕chèngㄔㄥˋvariant of 秤[cheng4] steelyard
骑	騎	jì, qí	ㄐㄧˋ, ㄑㄧˊ		骑〔騎〕jìㄐㄧˋ(Taiwan) saddle horse mounted soldier骑〔騎〕qíㄑㄧˊto ride (an animal or bike) to sit astride classifier for saddle-horses
午餐	午餐	wǔ cān	ㄨˇ ㄘㄢ		午餐wǔ cānㄨˇ ㄘㄢlunch luncheon CL:份[fen4],頓|顿[dun4],次[ci4]
太阳	太陽	tài yang	ㄊㄞˋ ㄧㄤ˙		太阳〔太陽〕tài yangㄊㄞˋ ㄧㄤ˙sun CL:個|个[ge4] abbr. for 太陽穴|太阳穴[tai4 yang2 xue2]
提出	提出	tí chū	ㄊㄧˊ ㄔㄨ		提出tí chūㄊㄧˊ ㄔㄨto raise (an issue) to propose to put forward to suggest to post (on a website) to withdraw (cash)
笑话	笑話	xiào huà	ㄒㄧㄠˋ ㄏㄨㄚˋ		笑话〔笑話〕xiào huàㄒㄧㄠˋ ㄏㄨㄚˋjoke jest CL:個|个[ge4] to laugh at to mock
响	響	xiǎng	ㄒㄧㄤˇ		响〔響〕xiǎngㄒㄧㄤˇecho sound noise to make a sound to sound to ring loud classifier for noises
省	省	shěng, xǐng	ㄕㄥˇ, ㄒㄧㄥˇ		"省shěngㄕㄥˇto save to economize to do without to omit to leave out province CL:個|个[ge4]省xǐngㄒㄧㄥˇto inspect to examine to be aware to pay a visit (to one's parents or elders)"
科学	科學	kē xué	ㄎㄜ ㄒㄩㄝˊ		科学〔科學〕kē xuéㄎㄜ ㄒㄩㄝˊscience scientific knowledge scientific rational CL:門|门[men2],個|个[ge4],種|种[zhong3]
道理	道理	dào li	ㄉㄠˋ ㄌㄧ˙		道理dào liㄉㄠˋ ㄌㄧ˙reason argument sense principle basis justification CL:個|个[ge4]
主要	主要	zhǔ yào	ㄓㄨˇ ㄧㄠˋ		主要zhǔ yàoㄓㄨˇ ㄧㄠˋmain principal major primary
同事	同事	tóng shì	ㄊㄨㄥˊ ㄕˋ		同事tóng shìㄊㄨㄥˊ ㄕˋcolleague co-worker CL:個|个[ge4],位[wei4]
喊	喊	hǎn	ㄏㄢˇ		喊hǎnㄏㄢˇto yell to shout to call out for (a person)
讲话	講話	jiǎng huà	ㄐㄧㄤˇ ㄏㄨㄚˋ		讲话〔講話〕jiǎng huàㄐㄧㄤˇ ㄏㄨㄚˋa speech to speak to talk to address CL:個|个[ge4]
早就	早就	zǎo jiù	ㄗㄠˇ ㄐㄧㄡˋ		早就zǎo jiùㄗㄠˇ ㄐㄧㄡˋalready at an earlier time
大部分	大部分	dà bù fen	ㄉㄚˋ ㄅㄨˋ ㄈㄣ˙		大部分dà bù fenㄉㄚˋ ㄅㄨˋ ㄈㄣ˙in large part the greater part the majority
空气	空氣	kōng qì	ㄎㄨㄥ ㄑㄧˋ		空气〔空氣〕kōng qìㄎㄨㄥ ㄑㄧˋair atmosphere
角	角	Jué, jiǎo, jué	ㄐㄩㄝˊ, ㄐㄧㄠˇ		角Juéㄐㄩㄝˊsurname Jue角jiǎoㄐㄧㄠˇangle corner horn horn-shaped unit of money equal to 0.1 yuan CL:個|个[ge4]角juéㄐㄩㄝˊrole (theater) to compete ancient three legged wine vessel third note of pentatonic scale
实现	實現	shí xiàn	ㄕˊ ㄒㄧㄢˋ		实现〔實現〕shí xiànㄕˊ ㄒㄧㄢˋto achieve to implement to realize to bring about
市	市	shì	ㄕˋ		市shìㄕˋmarket city CL:個|个[ge4]
蓝色	藍色	lán sè	ㄌㄢˊ ㄙㄜˋ		蓝色〔藍色〕lán sèㄌㄢˊ ㄙㄜˋblue (color)
年级	年級	nián jí	ㄋㄧㄢˊ ㄐㄧˊ		年级〔年級〕nián jíㄋㄧㄢˊ ㄐㄧˊgrade year (in school, college etc) CL:個|个[ge4]
提到	提到	tí dào	ㄊㄧˊ ㄉㄠˋ		提到tí dàoㄊㄧˊ ㄉㄠˋto mention to raise (a subject) to refer to
好多	好多	hǎo duō	ㄏㄠˇ ㄉㄨㄛ		好多hǎo duōㄏㄠˇ ㄉㄨㄛmany quite a lot much better
分开	分開	fēn kāi	ㄈㄣ ㄎㄞ		分开〔分開〕fēn kāiㄈㄣ ㄎㄞto separate to part
租	租	zū	ㄗㄨ		租zūㄗㄨto hire to rent to charter to rent out to lease out rent land tax
篇	篇	piān	ㄆㄧㄢ		篇piānㄆㄧㄢsheet piece of writing bound set of bamboo slips used for record keeping (old) classifier for written items: chapter, article
科	科	kē	ㄎㄜ		科kēㄎㄜbranch of study administrative section division field branch stage directions family (taxonomy) rules laws to mete out (punishment) to levy (taxes etc) to fine sb CL:個|个[ge4]
重复	重覆	chóng fù	ㄔㄨㄥˊ ㄈㄨˋ		重复〔重覆〕chóng fùㄔㄨㄥˊ ㄈㄨˋto repeat to duplicate CL:個|个[ge4] variant of 重複|重复[chong2 fu4]
态度	態度	tài du	ㄊㄞˋ ㄉㄨ˙		态度〔態度〕tài duㄊㄞˋ ㄉㄨ˙manner bearing attitude approach CL:個|个[ge4]
早餐	早餐	zǎo cān	ㄗㄠˇ ㄘㄢ		早餐zǎo cānㄗㄠˇ ㄘㄢbreakfast CL:份[fen4],頓|顿[dun4],次[ci4]
角度	角度	jiǎo dù	ㄐㄧㄠˇ ㄉㄨˋ		角度jiǎo dùㄐㄧㄠˇ ㄉㄨˋangle point of view
轻	輕	qīng	ㄑㄧㄥ		轻〔輕〕qīngㄑㄧㄥlight easy gentle soft reckless unimportant frivolous small in number unstressed neutral to disparage
英语	英語	Yīng yǔ	ㄧㄥ ㄩˇ		英语〔英語〕Yīng yǔㄧㄥ ㄩˇEnglish (language)
椅子	椅子	yǐ zi	ㄧˇ ㄗ˙		椅子yǐ ziㄧˇ ㄗ˙chair CL:把[ba3],套[tao4]
相同	相同	xiāng tóng	ㄒㄧㄤ ㄊㄨㄥˊ		相同xiāng tóngㄒㄧㄤ ㄊㄨㄥˊidentical same
重点	重點	chóng diǎn, zhòng diǎn	ㄔㄨㄥˊ ㄉㄧㄢˇ, ㄓㄨㄥˋ ㄉㄧㄢˇ		重点〔重點〕chóng diǎnㄔㄨㄥˊ ㄉㄧㄢˇto recount (e.g. results of election) to re-evaluate重点〔重點〕zhòng diǎnㄓㄨㄥˋ ㄉㄧㄢˇimportant point main point focus key (project etc) to focus on to put the emphasis on
教育	教育	jiào yù	ㄐㄧㄠˋ ㄩˋ		教育jiào yùㄐㄧㄠˋ ㄩˋto educate to teach education
亮	亮	liàng	ㄌㄧㄤˋ		亮liàngㄌㄧㄤˋbright clear resonant to shine to show to reveal
全国	全國	quán guó	ㄑㄩㄢˊ ㄍㄨㄛˊ		全国〔全國〕quán guóㄑㄩㄢˊ ㄍㄨㄛˊwhole nation nationwide countrywide national
放心	放心	fàng xīn	ㄈㄤˋ ㄒㄧㄣ		放心fàng xīnㄈㄤˋ ㄒㄧㄣto feel relieved to feel reassured to be at ease
河	河	hé	ㄏㄜˊ		河héㄏㄜˊriver CL:條|条[tiao2],道[dao4]
平	平	Píng, píng	ㄆㄧㄥˊ		平Píngㄆㄧㄥˊsurname Ping平píngㄆㄧㄥˊflat level equal to tie (make the same score) to draw (score) calm peaceful see also 平聲|平声[ping2 sheng1]
的话	的話	de huà	ㄉㄜ˙ ㄏㄨㄚˋ		的话〔的話〕de huàㄉㄜ˙ ㄏㄨㄚˋif (coming after a conditional clause)
语言	語言	yǔ yán	ㄩˇ ㄧㄢˊ		语言〔語言〕yǔ yánㄩˇ ㄧㄢˊlanguage CL:門|门[men2],種|种[zhong3]
小时候	小時候	xiǎo shí hou	ㄒㄧㄠˇ ㄕˊ ㄏㄡ˙		"小时候〔小時候〕xiǎo shí houㄒㄧㄠˇ ㄕˊ ㄏㄡ˙in one's childhood"
练	練	liàn	ㄌㄧㄢˋ		"练〔練〕liànㄌㄧㄢˋto practice to train to drill to perfect (one's skill) exercise"
举行	舉行	jǔ xíng	ㄐㄩˇ ㄒㄧㄥˊ		举行〔舉行〕jǔ xíngㄐㄩˇ ㄒㄧㄥˊto hold (a meeting, ceremony etc)
夏天	夏天	xià tiān	ㄒㄧㄚˋ ㄊㄧㄢ		夏天xià tiānㄒㄧㄚˋ ㄊㄧㄢsummer CL:個|个[ge4]
热情	熱情	rè qíng	ㄖㄜˋ ㄑㄧㄥˊ		热情〔熱情〕rè qíngㄖㄜˋ ㄑㄧㄥˊcordial enthusiastic passion passionate passionately
国际	國際	guó jì	ㄍㄨㄛˊ ㄐㄧˋ		国际〔國際〕guó jìㄍㄨㄛˊ ㄐㄧˋinternational
信心	信心	xìn xīn	ㄒㄧㄣˋ ㄒㄧㄣ		信心xìn xīnㄒㄧㄣˋ ㄒㄧㄣconfidence faith (in sb or sth) CL:個|个[ge4]
送给	送給	sòng gěi	ㄙㄨㄥˋ ㄍㄟˇ		送给〔送給〕sòng gěiㄙㄨㄥˋ ㄍㄟˇto send to give as a present
市长	市長	shì zhǎng	ㄕˋ ㄓㄤˇ		市长〔市長〕shì zhǎngㄕˋ ㄓㄤˇmayor
接下来	接下來	jiē xià lái	ㄐㄧㄝ ㄒㄧㄚˋ ㄌㄞˊ		接下来〔接下來〕jiē xià láiㄐㄧㄝ ㄒㄧㄚˋ ㄌㄞˊto accept to take next following
信用卡	信用卡	xìn yòng kǎ	ㄒㄧㄣˋ ㄩㄥˋ ㄎㄚˇ		信用卡xìn yòng kǎㄒㄧㄣˋ ㄩㄥˋ ㄎㄚˇcredit card
早晨	早晨	zǎo chén	ㄗㄠˇ ㄔㄣˊ		早晨zǎo chénㄗㄠˇ ㄔㄣˊearly morning CL:個|个[ge4]
出口	出口	chū kǒu	ㄔㄨ ㄎㄡˇ		出口chū kǒuㄔㄨ ㄎㄡˇan exit CL:個|个[ge4] to speak to export (of a ship) to leave port
黑色	黑色	hēi sè	ㄏㄟ ㄙㄜˋ		黑色hēi sèㄏㄟ ㄙㄜˋblack
姓	姓	xìng	ㄒㄧㄥˋ		姓xìngㄒㄧㄥˋfamily name surname CL:個|个[ge4] to be surnamed
作家	作家	zuò jiā	ㄗㄨㄛˋ ㄐㄧㄚ		作家zuò jiāㄗㄨㄛˋ ㄐㄧㄚauthor CL:個|个[ge4],位[wei4]
级	級	jí	ㄐㄧˊ		级〔級〕jíㄐㄧˊlevel grade rank step (of stairs) CL:個|个[ge4] classifier: step, level
